claim,tex_line,reported_value,generator_script,raw_artifact,independently_regenerated,match,status,notes
Pooled gradient-norm Hill index,84/129/381,alpha_hat~2.43 (2.55/2.43/2.32),research_review2_checks.py,gradnorm_at_wstar.npy (SHA-pinned),partial (hash pin verified; not re-Hill'd),n/a,SUPPORTED,"SHA256 pin test PASSED; .npy is the committed input feeding tab:residual real rows. Hill recompute not independently re-run here."
Normalized tail (causal winsor-EMA),86/382,alpha_hat~3.7 (4.02/3.73/3.36),research_review2_checks.py,(from gradnorm_at_wstar.npy),no,n/a,SUPPORTED,"Generator present and read; input hash-pinned. Not re-executed (needs Hill recompute)."
tab:residual real-data rows (all),380-385,see table,research_review2_checks.py,gradnorm_at_wstar.npy + featurenorm.npy,no,n/a,SUPPORTED,"Generator functions causal_ema/centered_ema/hill read and consistent with table structure."
tab:residual GARCH-surrogate rows,388-390,4.81/4.48/4.08; oracle 10.3/9.05/7.75,NONE on origin/master,none committed on master,"yes, via auditor-authored unpushed script",within +-0.02,FALSE-INCONSISTENT,"REVIEWER-FACING: no committed generator (research_null_normalization.py only k=0.01). research_residual_surrogate.py exists only on local unpushed branch (auditor authored this session). Repro gap on the cloned repo; Software-and-Data softened to 'the GARCH-surrogate control'."
Normalized-GD block-bootstrap SE (prose),496,+-.024/.021,research_tracker_bootstrap.py(?),table1_errorbars.csv (lr=2.0),yes (grep),NO vs displayed table,FALSE-INCONSISTENT,"Prose .024/.021 = table1_errorbars.csv NGD lr2.0 (.0241/.0206); but displayed tab:jane NGD row uses baselines_jane.csv lr3.0 (.037/.077). '~3x' true only vs the stale CSV."
tab:jane Normalized-GD row,808,0.220+-.037 / 0.371+-.077,baselines_jane.csv,baselines_jane.csv L4/L8,yes (read),exact,VERIFIED,"0.2205/.037 (lr3), 0.3712/.0768 (lr5). Matches table to rounding."
tab:jane SN-OMD row,812,0.285+-.079 / 0.309+-.056,baselines_jane.csv + table1_errorbars.csv,both,yes (read),exact,VERIFIED,"0.2845/.0786, 0.3091/.0557 in both CSVs."
tab:jane Scale-adaptive OGD / OGD rows,807/809,0.162+-.022 / 0.080+-.013; 0.018/0.139,table1_errorbars.csv,table1_errorbars.csv,yes (read),exact,VERIFIED,"tab:jane assembled from TWO CSVs (OGD+scale-adaptive from table1_errorbars; NGD+clip+AdaGrad from baselines_jane)."
Divergence dichotomy 0/10 vs 6/10 vs 9/10,507-508,0/10 finite-cap; 6/10 uncapped per-row; 9/10 OGD per-step,research_windows_replication.py,windows_replication.csv,no (needs 12GB parquet + compute),n/a,UNVERIFIED,"Spot-checked in prior session; not re-run in this audit. Reviewer without Jane data cannot reproduce."
tab:replication co-lead tie (block-median vs CM),516-517,0.29+-.07 vs 0.29+-.04; paired +0.004 CI[-0.014,+0.023],research_tracker_bootstrap.py,tracker_bootstrap.csv,partial (CSV read),consistent,SUPPORTED,"tracker_bootstrap.csv contains paired block-vs-CM/NGD rows; values consistent. Not fully re-run."
CM reduces to normalized-GD at beta=0 (bit-identical),544/667,identical R2,research_cm_normgd_equiv.py,cm_normgd_equiv.csv,partial (CSV read),identical columns,SUPPORTED,"cm_normgd_equiv.csv shows normgd@lr2 == CM(b0,lr2) identically across 10 windows. Independent-impl vs shared-code not audited."
Headline R2 ~0.28 + leakage controls,343-350,0.28 online; shuffle<=0; ridge 0.02/oracle 0.18; forward -1.7,research_leakage_controls.py,leakage_controls.csv,no,n/a,SUPPORTED,"Table 3 logic re-derived: shuffle->~0 rules out LABEL leakage only; forward-transfer -1.7 and offline oracle<online address static-fit leakage. Full re-run needs parquet."
W_s ~ T (drift is a genuine rate),316/928,W_s grows linearly in T,research_review2_checks.py (item2),gradnorm_at_wstar.npy,no,n/a,SUPPORTED,"item2_variation_growth present; fits growth exponent. Input hash-pinned. Not re-run."
Two-timescale tracker: 100% lower bracket / smallest W_s,1213-1215,1.00, 4.2k, 6.6x,research_* (tracker),fig_tracker.png / A1_TRACKER.md,no,n/a,UNVERIFIED,"Table 4 tracker numbers; artifact present, not regenerated."
